start	strand	target_basepairing_propensity
5588	+	0.506
5589	+	0.505
5590	+	0.5075
5591	+	0.508
5592	+	0.5085
5593	+	0.512
5594	+	0.5575
5595	+	0.5915
5596	+	0.6195
5597	+	0.66
5598	+	0.6785
5599	+	0.706
5600	+	0.737
5601	+	0.764
5602	+	0.7805
5603	+	0.752
5604	+	0.74
5605	+	0.741
5606	+	0.735
5607	+	0.7325
5608	+	0.726
5609	+	0.7045
5610	+	0.6855
5611	+	0.6835
5612	+	0.6685
5613	+	0.6615
5614	+	0.659
5615	+	0.6495
5616	+	0.647
5617	+	0.6065
5618	+	0.588
5619	+	0.5635
5620	+	0.55
5621	+	0.539
5622	+	0.5255
5623	+	0.5595
5624	+	0.5755
5625	+	0.5785
5626	+	0.5795
5627	+	0.5775
5628	+	0.5725
5629	+	0.5645
5630	+	0.5355
5631	+	0.5095
5632	+	0.5115
5633	+	0.505
5634	+	0.4945
5635	+	0.5045
5636	+	0.4935
5637	+	0.502
5638	+	0.52
5639	+	0.535
5640	+	0.556
5641	+	0.5785
5642	+	0.623
5643	+	0.616
5644	+	0.59
5645	+	0.589
5646	+	0.5945
5647	+	0.602
5648	+	0.589
5649	+	0.5995
5650	+	0.606
5651	+	0.594
5652	+	0.563
5653	+	0.553
5654	+	0.5645
5655	+	0.57
5656	+	0.576
5657	+	0.61
5658	+	0.6345
5659	+	0.662
5660	+	0.6685
5661	+	0.647
5662	+	0.5995
5663	+	0.56
5664	+	0.5745
5665	+	0.569
5666	+	0.5635
5667	+	0.5515
5668	+	0.564
5669	+	0.5415
5670	+	0.565
5671	+	0.585
5672	+	0.6085
5673	+	0.6225
5674	+	0.6025
5675	+	0.5765
5676	+	0.582
5677	+	0.5595
5678	+	0.5375
5679	+	0.5395
5680	+	0.5425
5681	+	0.5735
5682	+	0.618
5683	+	0.618
5684	+	0.616
5685	+	0.623
5686	+	0.6315
5687	+	0.6085
5688	+	0.5845
5689	+	0.588
5690	+	0.566
5691	+	0.577
5692	+	0.588
5693	+	0.582
5694	+	0.555
5695	+	0.539
5696	+	0.5455
5697	+	0.569
5698	+	0.588
5699	+	0.5795
5700	+	0.552
5701	+	0.5535
5702	+	0.559
5703	+	0.608
5704	+	0.6095
5705	+	0.595
5706	+	0.5795
5707	+	0.581
5708	+	0.588
5709	+	0.5895
5710	+	0.589
5711	+	0.553
5712	+	0.5155
5713	+	0.521
5714	+	0.5665
5715	+	0.611
5716	+	0.6095
5717	+	0.603
5718	+	0.6135
5719	+	0.624
5720	+	0.652
5721	+	0.6465
5722	+	0.6395
5723	+	0.6295
5724	+	0.5985
5725	+	0.61
5726	+	0.6215
5727	+	0.657
5728	+	0.6865
5729	+	0.727
5730	+	0.768
5731	+	0.8135
5732	+	0.861
5733	+	0.8705
5734	+	0.829
5735	+	0.7795
5736	+	0.7425
5737	+	0.7055
5738	+	0.7
5739	+	0.695
5740	+	0.691
5741	+	0.6965
5742	+	0.7035
5743	+	0.714
5744	+	0.7605
5745	+	0.76
5746	+	0.758
5747	+	0.71
5748	+	0.699
5749	+	0.693
5750	+	0.6855
5751	+	0.6765
5752	+	0.666
5753	+	0.6325
5754	+	0.6285
5755	+	0.6285
5756	+	0.6285
5757	+	0.6395
5758	+	0.61
5759	+	0.589
5760	+	0.5575
5761	+	0.521
5762	+	0.4885
5763	+	0.453
5764	+	0.4185
5765	+	0.376
5766	+	0.349
5767	+	0.3635
5768	+	0.3415
5769	+	0.305
5770	+	0.264
5771	+	0.224
5772	+	0.195
5773	+	0.1985
5774	+	0.212
5775	+	0.2255
5776	+	0.239
5777	+	0.261
5778	+	0.2795
5779	+	0.299
5780	+	0.3295
5781	+	0.365
5782	+	0.396
5783	+	0.43
5784	+	0.4505
5785	+	0.4815
5786	+	0.4885
5787	+	0.4945
5788	+	0.4955
5789	+	0.5055
5790	+	0.5055
5791	+	0.536
5792	+	0.557
5793	+	0.539
5794	+	0.558
5795	+	0.5925
5796	+	0.595
5797	+	0.6115
5798	+	0.6275
5799	+	0.618
5800	+	0.608
5801	+	0.597
5802	+	0.5525
5803	+	0.508
5804	+	0.473
5805	+	0.4515
5806	+	0.44
5807	+	0.429
5808	+	0.4565
5809	+	0.484
5810	+	0.527
5811	+	0.5395
5812	+	0.5515
5813	+	0.583
5814	+	0.5875
5815	+	0.575
5816	+	0.5895
5817	+	0.545
5818	+	0.5005
5819	+	0.4975
5820	+	0.494
5821	+	0.4855
5822	+	0.5105
5823	+	0.5355
5824	+	0.5655
5825	+	0.5855
5826	+	0.6015
5827	+	0.6285
5828	+	0.629
5829	+	0.6305
5830	+	0.6195
5831	+	0.6085
5832	+	0.566
5833	+	0.534
5834	+	0.497
5835	+	0.4615
5836	+	0.431
5837	+	0.426
5838	+	0.453
5839	+	0.4545
5840	+	0.456
5841	+	0.477
5842	+	0.4895
5843	+	0.504
5844	+	0.523
5845	+	0.543
5846	+	0.5655
5847	+	0.577
5848	+	0.5815
5849	+	0.537
5850	+	0.505
5851	+	0.473
5852	+	0.473
5853	+	0.517
5854	+	0.561
5855	+	0.605
5856	+	0.649
5857	+	0.692
5858	+	0.71
5859	+	0.7275
5860	+	0.7235
5861	+	0.682
5862	+	0.641
5863	+	0.6105
5864	+	0.5745
5865	+	0.5375
5866	+	0.518
5867	+	0.4995
5868	+	0.482
5869	+	0.5125
5870	+	0.543
5871	+	0.5735
5872	+	0.59
5873	+	0.594
5874	+	0.598
5875	+	0.589
5876	+	0.58
5877	+	0.537
5878	+	0.487
5879	+	0.4375
5880	+	0.41
5881	+	0.4425
5882	+	0.4835
5883	+	0.512
5884	+	0.5405
5885	+	0.5695
5886	+	0.5825
5887	+	0.553
5888	+	0.5225
5889	+	0.492
5890	+	0.4615
5891	+	0.431
5892	+	0.4145
5893	+	0.3665
5894	+	0.366
5895	+	0.3785
5896	+	0.391
5897	+	0.4385
5898	+	0.486
5899	+	0.533
5900	+	0.568
5901	+	0.572
5902	+	0.576
5903	+	0.576
5904	+	0.581
5905	+	0.5745
5906	+	0.578
5907	+	0.623
5908	+	0.6695
5909	+	0.7165
5910	+	0.736
5911	+	0.756
5912	+	0.792
5913	+	0.8275
5914	+	0.8085
5915	+	0.7735
5916	+	0.738
5917	+	0.7025
5918	+	0.6625
5919	+	0.651
5920	+	0.652
5921	+	0.643
5922	+	0.6335
5923	+	0.628
5924	+	0.5815
5925	+	0.5465
5926	+	0.5325
5927	+	0.5185
5928	+	0.472
5929	+	0.425
5930	+	0.406
5931	+	0.403
5932	+	0.384
5933	+	0.3665
5934	+	0.387
5935	+	0.412
5936	+	0.4
5937	+	0.4165
5938	+	0.4375
5939	+	0.4305
5940	+	0.423
5941	+	0.415
5942	+	0.379
5943	+	0.343
5944	+	0.343
5945	+	0.3835
5946	+	0.394
5947	+	0.405
5948	+	0.4475
5949	+	0.49
5950	+	0.532
5951	+	0.56
5952	+	0.5455
5953	+	0.53
5954	+	0.4835
5955	+	0.4485
5956	+	0.451
5957	+	0.425
5958	+	0.4415
5959	+	0.458
5960	+	0.4745
5961	+	0.4915
5962	+	0.536
5963	+	0.5775
5964	+	0.618
5965	+	0.5775
5966	+	0.536
5967	+	0.496
5968	+	0.4795
5969	+	0.463
5970	+	0.4445
5971	+	0.426
5972	+	0.456
5973	+	0.4625
5974	+	0.499
5975	+	0.5355
5976	+	0.569
5977	+	0.5895
5978	+	0.5625
5979	+	0.538
5980	+	0.5195
5981	+	0.522
5982	+	0.525
5983	+	0.5175
5984	+	0.4945
5985	+	0.525
5986	+	0.56
5987	+	0.578
5988	+	0.5935
5989	+	0.6065
5990	+	0.6215
5991	+	0.6025
5992	+	0.5735
5993	+	0.57
5994	+	0.5365
5995	+	0.503
5996	+	0.4725
5997	+	0.4585
5998	+	0.4485
5999	+	0.4355
6000	+	0.4155
6001	+	0.3745
6002	+	0.335
6003	+	0.309
6004	+	0.3185
6005	+	0.3155
6006	+	0.308
6007	+	0.3075
6008	+	0.2865
6009	+	0.268
6010	+	0.229
6011	+	0.2215
6012	+	0.218
6013	+	0.257
6014	+	0.2965
6015	+	0.3375
6016	+	0.378
6017	+	0.416
6018	+	0.443
6019	+	0.4715
6020	+	0.512
6021	+	0.5175
6022	+	0.553
6023	+	0.5885
6024	+	0.5745
6025	+	0.551
6026	+	0.5275
6027	+	0.512
6028	+	0.5285
6029	+	0.545
6030	+	0.5565
6031	+	0.6035
6032	+	0.6505
6033	+	0.653
6034	+	0.655
6035	+	0.6555
6036	+	0.6565
6037	+	0.6525
6038	+	0.65
6039	+	0.636
6040	+	0.631
6041	+	0.6615
6042	+	0.646
6043	+	0.64
6044	+	0.662
6045	+	0.689
6046	+	0.7105
6047	+	0.7235
6048	+	0.7185
6049	+	0.72
6050	+	0.747
6051	+	0.7385
6052	+	0.73
6053	+	0.6995
6054	+	0.663
6055	+	0.6265
6056	+	0.5965
6057	+	0.5705
6058	+	0.5615
6059	+	0.5555
6060	+	0.5465
6061	+	0.529
6062	+	0.5245
6063	+	0.5105
6064	+	0.497
6065	+	0.468
6066	+	0.4485
6067	+	0.4375
6068	+	0.4115
6069	+	0.379
6070	+	0.383
6071	+	0.388
6072	+	0.394
6073	+	0.426
6074	+	0.464
6075	+	0.5015
6076	+	0.4885
6077	+	0.4725
6078	+	0.45
6079	+	0.435
6080	+	0.4475
6081	+	0.468
6082	+	0.494
6083	+	0.5205
6084	+	0.548
6085	+	0.594
6086	+	0.589
6087	+	0.587
6088	+	0.589
6089	+	0.591
6090	+	0.5595
6091	+	0.523
6092	+	0.49
6093	+	0.449
6094	+	0.4105
6095	+	0.3715
6096	+	0.37
6097	+	0.4065
6098	+	0.447
6099	+	0.4845
6100	+	0.4815
6101	+	0.443
6102	+	0.408
6103	+	0.3685
6104	+	0.33
6105	+	0.2885
6106	+	0.3275
6107	+	0.3675
6108	+	0.4035
6109	+	0.437
6110	+	0.446
6111	+	0.4545
6112	+	0.453
6113	+	0.4735
6114	+	0.4975
6115	+	0.533
6116	+	0.575
6117	+	0.573
6118	+	0.572
6119	+	0.554
6120	+	0.522
6121	+	0.523
6122	+	0.5185
6123	+	0.518
6124	+	0.5175
6125	+	0.5255
6126	+	0.502
6127	+	0.484
6128	+	0.4665
6129	+	0.458
6130	+	0.455
6131	+	0.4565
6132	+	0.4805
6133	+	0.486
6134	+	0.485
6135	+	0.46
6136	+	0.435
6137	+	0.419
6138	+	0.381
6139	+	0.406
6140	+	0.4435
6141	+	0.4745
6142	+	0.509
6143	+	0.512
6144	+	0.5385
6145	+	0.5635
6146	+	0.587
6147	+	0.599
6148	+	0.6205
6149	+	0.6355
6150	+	0.667
6151	+	0.6605
6152	+	0.637
6153	+	0.652
6154	+	0.6575
6155	+	0.682
6156	+	0.669
6157	+	0.656
6158	+	0.6595
6159	+	0.614
6160	+	0.566
6161	+	0.565
6162	+	0.5585
6163	+	0.5835
6164	+	0.547
6165	+	0.5075
6166	+	0.506
6167	+	0.5065
6168	+	0.4965
6169	+	0.4865
6170	+	0.476
6171	+	0.5025
6172	+	0.528
6173	+	0.513
6174	+	0.508
6175	+	0.497
6176	+	0.5225
6177	+	0.546
6178	+	0.57
6179	+	0.6
6180	+	0.63
6181	+	0.639
6182	+	0.648
6183	+	0.657
6184	+	0.678
6185	+	0.699
6186	+	0.6815
6187	+	0.6665
6188	+	0.652
6189	+	0.661
6190	+	0.671
6191	+	0.6755
6192	+	0.671
6193	+	0.6865
6194	+	0.6725
6195	+	0.648
6196	+	0.6265
6197	+	0.607
6198	+	0.6185
6199	+	0.625
6200	+	0.636
6201	+	0.6335
6202	+	0.631
6203	+	0.6225
6204	+	0.642
6205	+	0.6605
6206	+	0.675
6207	+	0.689
6208	+	0.6685
6209	+	0.6245
6210	+	0.5785
6211	+	0.574
6212	+	0.5775
6213	+	0.5325
6214	+	0.517
6215	+	0.5135
6216	+	0.509
6217	+	0.5105
6218	+	0.481
6219	+	0.4555
6220	+	0.4225
6221	+	0.421
6222	+	0.4225
6223	+	0.3945
6224	+	0.3945
6225	+	0.3945
6226	+	0.3945
6227	+	0.3595
6228	+	0.3935
6229	+	0.4305
6230	+	0.4675
6231	+	0.4695
6232	+	0.4725
6233	+	0.5105
6234	+	0.5535
6235	+	0.572
6236	+	0.592
6237	+	0.5865
6238	+	0.581
6239	+	0.5925
6240	+	0.607
6241	+	0.564
6242	+	0.5185
6243	+	0.5365
6244	+	0.525
6245	+	0.514
6246	+	0.508
6247	+	0.5405
6248	+	0.539
6249	+	0.5035
6250	+	0.504
6251	+	0.501
6252	+	0.5045
6253	+	0.504
6254	+	0.4985
6255	+	0.5165
6256	+	0.527
6257	+	0.5205
6258	+	0.5505
6259	+	0.5665
6260	+	0.5825
6261	+	0.621
6262	+	0.6205
6263	+	0.597
6264	+	0.573
6265	+	0.5495
6266	+	0.533
6267	+	0.506
6268	+	0.519
6269	+	0.563
6270	+	0.5735
6271	+	0.587
6272	+	0.5555
6273	+	0.561
6274	+	0.5565
6275	+	0.552
6276	+	0.552
6277	+	0.602
6278	+	0.605
6279	+	0.6155
6280	+	0.5945
6281	+	0.602
6282	+	0.613
6283	+	0.655
6284	+	0.699
6285	+	0.7435
6286	+	0.7805
6287	+	0.8175
6288	+	0.787
6289	+	0.7555
6290	+	0.732
6291	+	0.701
6292	+	0.707
6293	+	0.6755
6294	+	0.654
6295	+	0.633
6296	+	0.61
6297	+	0.5615
6298	+	0.5235
6299	+	0.499
6300	+	0.5125
6301	+	0.499
6302	+	0.535
6303	+	0.5105
6304	+	0.483
6305	+	0.4495
6306	+	0.4005
6307	+	0.387
6308	+	0.4015
6309	+	0.4175
6310	+	0.4385
6311	+	0.4675
6312	+	0.499
6313	+	0.531
6314	+	0.5485
6315	+	0.533
6316	+	0.5195
6317	+	0.518
6318	+	0.517
6319	+	0.5385
6320	+	0.5535
6321	+	0.567
6322	+	0.564
6323	+	0.5755
6324	+	0.598
6325	+	0.6235
6326	+	0.6725
6327	+	0.6795
6328	+	0.6955
6329	+	0.711
6330	+	0.6985
6331	+	0.661
6332	+	0.6235
6333	+	0.592
6334	+	0.59
6335	+	0.631
6336	+	0.665
6337	+	0.7065
6338	+	0.738
6339	+	0.731
6340	+	0.7235
6341	+	0.706
6342	+	0.6905
6343	+	0.6745
6344	+	0.6775
6345	+	0.674
6346	+	0.672
6347	+	0.682
6348	+	0.6825
6349	+	0.6835
6350	+	0.651
6351	+	0.6805
6352	+	0.708
6353	+	0.6965
6354	+	0.7105
6355	+	0.6765
6356	+	0.6465
6357	+	0.6105
6358	+	0.58
6359	+	0.545
6360	+	0.5145
6361	+	0.5325
6362	+	0.5505
6363	+	0.576
6364	+	0.531
6365	+	0.533
6366	+	0.5285
6367	+	0.5235
6368	+	0.516
6369	+	0.5095
6370	+	0.5465
6371	+	0.514
6372	+	0.4865
6373	+	0.494
6374	+	0.46
6375	+	0.4595
6376	+	0.4635
6377	+	0.4675
6378	+	0.4705
6379	+	0.4685
6380	+	0.462
6381	+	0.4155
6382	+	0.3735
6383	+	0.338
6384	+	0.348
6385	+	0.3325
6386	+	0.3305
6387	+	0.327
6388	+	0.33
6389	+	0.335
6390	+	0.3445
6391	+	0.3785
6392	+	0.3885
6393	+	0.3805
6394	+	0.3735
6395	+	0.3665
6396	+	0.3735
6397	+	0.411
6398	+	0.4525
6399	+	0.4935
6400	+	0.536
6401	+	0.5635
6402	+	0.604
6403	+	0.627
6404	+	0.6285
6405	+	0.6055
6406	+	0.564
6407	+	0.527
6408	+	0.4955
6409	+	0.4755
6410	+	0.471
6411	+	0.473
6412	+	0.496
6413	+	0.5355
6414	+	0.535
6415	+	0.538
6416	+	0.543
6417	+	0.516
6418	+	0.505
6419	+	0.4905
6420	+	0.4615
6421	+	0.4485
6422	+	0.417
6423	+	0.3995
6424	+	0.4125
6425	+	0.4375
6426	+	0.4505
6427	+	0.467
6428	+	0.474
6429	+	0.4805
6430	+	0.4545
6431	+	0.455
6432	+	0.4565
6433	+	0.4425
6434	+	0.469
6435	+	0.4975
6436	+	0.5225
6437	+	0.549
6438	+	0.561
6439	+	0.576
6440	+	0.597
6441	+	0.619
6442	+	0.6525
6443	+	0.683
6444	+	0.6685
6445	+	0.644
6446	+	0.635
6447	+	0.622
6448	+	0.616
6449	+	0.628
6450	+	0.656
6451	+	0.658
6452	+	0.655
6453	+	0.627
6454	+	0.597
6455	+	0.566
6456	+	0.5245
6457	+	0.4885
6458	+	0.4575
6459	+	0.4295
6460	+	0.4375
6461	+	0.4395
6462	+	0.43
6463	+	0.4265
6464	+	0.4295
6465	+	0.444
6466	+	0.455
6467	+	0.4885
6468	+	0.5145
6469	+	0.5025
6470	+	0.4905
6471	+	0.4795
6472	+	0.4725
6473	+	0.5065
6474	+	0.539
6475	+	0.5795
6476	+	0.6205
6477	+	0.653
6478	+	0.672
6479	+	0.69
6480	+	0.6525
6481	+	0.629
6482	+	0.6085
6483	+	0.61
6484	+	0.6305
6485	+	0.647
6486	+	0.632
6487	+	0.592
6488	+	0.5545
6489	+	0.526
6490	+	0.4975
6491	+	0.469
6492	+	0.461
6493	+	0.443
6494	+	0.437
6495	+	0.4225
6496	+	0.401
6497	+	0.3695
6498	+	0.341
6499	+	0.3135
6500	+	0.307
6501	+	0.3045
6502	+	0.3
6503	+	0.274
6504	+	0.2545
6505	+	0.235
6506	+	0.25
6507	+	0.2645
6508	+	0.2635
6509	+	0.2575
6510	+	0.2605
6511	+	0.2635
6512	+	0.268
6513	+	0.2785
6514	+	0.2885
6515	+	0.305
6516	+	0.3085
6517	+	0.344
6518	+	0.3755
6519	+	0.3995
6520	+	0.4295
6521	+	0.4445
6522	+	0.432
6523	+	0.416
6524	+	0.417
6525	+	0.421
6526	+	0.424
6527	+	0.4185
6528	+	0.435
6529	+	0.453
6530	+	0.462
6531	+	0.462
6532	+	0.44
6533	+	0.4575
6534	+	0.4605
6535	+	0.4505
6536	+	0.462
6537	+	0.4515
6538	+	0.4465
6539	+	0.4625
6540	+	0.474
6541	+	0.487
6542	+	0.503
6543	+	0.5075
6544	+	0.518
6545	+	0.5435
6546	+	0.574
6547	+	0.6125
6548	+	0.636
6549	+	0.644
6550	+	0.642
6551	+	0.649
6552	+	0.6575
6553	+	0.6295
6554	+	0.6085
6555	+	0.5935
6556	+	0.574
6557	+	0.5825
6558	+	0.593
6559	+	0.591
6560	+	0.5735
6561	+	0.5755
6562	+	0.606
6563	+	0.632
6564	+	0.6155
6565	+	0.5835
6566	+	0.546
6567	+	0.54
6568	+	0.54
6569	+	0.552
6570	+	0.5665
6571	+	0.589
6572	+	0.595
6573	+	0.602
6574	+	0.609
6575	+	0.6395
6576	+	0.661
6577	+	0.649
6578	+	0.623
6579	+	0.6075
6580	+	0.6275
6581	+	0.6115
6582	+	0.5915
6583	+	0.5875
6584	+	0.603
6585	+	0.6005
6586	+	0.6135
6587	+	0.5885
6588	+	0.5635
6589	+	0.542
6590	+	0.539
6591	+	0.533
6592	+	0.538
6593	+	0.5595
6594	+	0.58
6595	+	0.558
6596	+	0.563
6597	+	0.575
6598	+	0.6065
6599	+	0.627
6600	+	0.632
6601	+	0.6535
6602	+	0.651
6603	+	0.6325
6604	+	0.606
6605	+	0.604
6606	+	0.617
6607	+	0.6375
6608	+	0.658
6609	+	0.681
6610	+	0.656
6611	+	0.6235
6612	+	0.6275
6613	+	0.614
6614	+	0.569
6615	+	0.5615
6616	+	0.535
6617	+	0.5085
6618	+	0.478
6619	+	0.462
6620	+	0.436
6621	+	0.3995
6622	+	0.4225
6623	+	0.4625
6624	+	0.509
6625	+	0.5515
6626	+	0.563
6627	+	0.573
6628	+	0.5745
6629	+	0.5735
6630	+	0.58
6631	+	0.5935
6632	+	0.565
6633	+	0.5455
6634	+	0.5795
6635	+	0.603
6636	+	0.624
6637	+	0.645
6638	+	0.648
6639	+	0.662
6640	+	0.688
6641	+	0.726
6642	+	0.729
6643	+	0.731
6644	+	0.729
6645	+	0.7245
6646	+	0.7205
6647	+	0.674
6648	+	0.6395
6649	+	0.605
6650	+	0.601
6651	+	0.637
6652	+	0.6815
6653	+	0.7165
6654	+	0.726
6655	+	0.726
6656	+	0.729
6657	+	0.7315
6658	+	0.7505
6659	+	0.7535
6660	+	0.7535
6661	+	0.753
6662	+	0.752
6663	+	0.708
6664	+	0.671
6665	+	0.6315
6666	+	0.591
6667	+	0.5945
6668	+	0.5925
6669	+	0.595
6670	+	0.638
6671	+	0.63
6672	+	0.629
6673	+	0.6225
6674	+	0.6085
6675	+	0.596
6676	+	0.5785
6677	+	0.5605
6678	+	0.521
6679	+	0.4715
6680	+	0.423
6681	+	0.3775
6682	+	0.337
6683	+	0.3415
6684	+	0.352
6685	+	0.365
6686	+	0.3735
6687	+	0.384
6688	+	0.39
6689	+	0.3835
6690	+	0.344
6691	+	0.3115
6692	+	0.273
6693	+	0.2645
6694	+	0.2825
6695	+	0.3015
6696	+	0.319
6697	+	0.338
6698	+	0.379
6699	+	0.418
6700	+	0.464
6701	+	0.4855
6702	+	0.505
6703	+	0.523
6704	+	0.5155
6705	+	0.529
6706	+	0.541
6707	+	0.5485
6708	+	0.5645
6709	+	0.588
6710	+	0.603
6711	+	0.618
6712	+	0.6325
6713	+	0.607
6714	+	0.566
6715	+	0.531
6716	+	0.5025
6717	+	0.4715
6718	+	0.4785
6719	+	0.4805
6720	+	0.4785
6721	+	0.499
6722	+	0.5185
6723	+	0.5375
6724	+	0.5735
6725	+	0.545
6726	+	0.5235
6727	+	0.5025
6728	+	0.4825
6729	+	0.463
6730	+	0.4425
6731	+	0.464
6732	+	0.486
6733	+	0.526
6734	+	0.566
6735	+	0.5985
6736	+	0.6325
6737	+	0.667
6738	+	0.6455
6739	+	0.631
6740	+	0.6255
6741	+	0.618
6742	+	0.611
6743	+	0.5955
6744	+	0.5865
6745	+	0.621
6746	+	0.654
6747	+	0.689
6748	+	0.6975
6749	+	0.6985
6750	+	0.71
6751	+	0.6805
6752	+	0.64
6753	+	0.6085
6754	+	0.5735
6755	+	0.5275
6756	+	0.4815
6757	+	0.448
6758	+	0.4335
6759	+	0.4065
6760	+	0.3685
6761	+	0.3315
6762	+	0.292
6763	+	0.261
6764	+	0.2235
6765	+	0.187
6766	+	0.152
6767	+	0.1395
6768	+	0.15
6769	+	0.168
6770	+	0.1875
6771	+	0.214
6772	+	0.2175
6773	+	0.21
6774	+	0.217
6775	+	0.254
6776	+	0.297
6777	+	0.329
6778	+	0.3245
6779	+	0.3705
6780	+	0.4155
6781	+	0.4535
6782	+	0.4905
6783	+	0.501
6784	+	0.5375
6785	+	0.5855
6786	+	0.6335
6787	+	0.6585
6788	+	0.683
6789	+	0.6965
6790	+	0.699
6791	+	0.693
6792	+	0.7215
6793	+	0.714
6794	+	0.704
6795	+	0.6765
6796	+	0.6775
6797	+	0.6795
6798	+	0.7175
6799	+	0.719
6800	+	0.712
6801	+	0.712
6802	+	0.711
6803	+	0.7375
6804	+	0.7385
6805	+	0.7175
6806	+	0.6965
6807	+	0.688
6808	+	0.6815
6809	+	0.6605
6810	+	0.666
6811	+	0.6725
6812	+	0.68
6813	+	0.6885
6814	+	0.6815
6815	+	0.673
6816	+	0.658
6817	+	0.642
6818	+	0.6335
6819	+	0.6235
6820	+	0.63
6821	+	0.607
6822	+	0.5785
6823	+	0.5565
6824	+	0.537
6825	+	0.528
6826	+	0.5115
6827	+	0.5125
6828	+	0.5135
6829	+	0.538
6830	+	0.5285
6831	+	0.52
6832	+	0.5115
6833	+	0.538
6834	+	0.537
6835	+	0.5705
6836	+	0.576
6837	+	0.5845
6838	+	0.5495
6839	+	0.5535
6840	+	0.5495
6841	+	0.5835
6842	+	0.6225
6843	+	0.654
6844	+	0.6375
6845	+	0.6275
6846	+	0.625
6847	+	0.592
6848	+	0.553
6849	+	0.5175
6850	+	0.4895
6851	+	0.459
6852	+	0.466
6853	+	0.47
6854	+	0.5075
6855	+	0.5115
6856	+	0.5135
6857	+	0.4755
6858	+	0.474
6859	+	0.472
6860	+	0.47
6861	+	0.469
6862	+	0.47
6863	+	0.4715
6864	+	0.518
6865	+	0.5555
6866	+	0.5955
6867	+	0.6355
6868	+	0.6665
6869	+	0.6655
6870	+	0.661
6871	+	0.665
6872	+	0.6355
6873	+	0.609
6874	+	0.591
6875	+	0.576
6876	+	0.5615
6877	+	0.5725
6878	+	0.614
6879	+	0.6175
6880	+	0.621
6881	+	0.594
6882	+	0.5875
6883	+	0.587
6884	+	0.588
6885	+	0.5905
6886	+	0.59
6887	+	0.5835
6888	+	0.591
6889	+	0.589
6890	+	0.5905
6891	+	0.584
6892	+	0.5705
6893	+	0.557
6894	+	0.536
6895	+	0.512
6896	+	0.4895
6897	+	0.4785
6898	+	0.4445
6899	+	0.451
6900	+	0.4575
6901	+	0.4835
6902	+	0.4895
6903	+	0.489
6904	+	0.48
6905	+	0.472
6906	+	0.4415
6907	+	0.419
6908	+	0.4165
6909	+	0.454
6910	+	0.4915
6911	+	0.5105
6912	+	0.531
6913	+	0.5515
6914	+	0.572
6915	+	0.572
6916	+	0.5995
6917	+	0.627
6918	+	0.6265
6919	+	0.5915
6920	+	0.548
6921	+	0.522
6922	+	0.4965
6923	+	0.468
6924	+	0.4735
6925	+	0.4775
6926	+	0.4795
6927	+	0.5
6928	+	0.4915
6929	+	0.4835
6930	+	0.4685
6931	+	0.453
6932	+	0.4405
6933	+	0.4285
6934	+	0.414
6935	+	0.4205
6936	+	0.3945
6937	+	0.37
6938	+	0.3665
6939	+	0.36
6940	+	0.3785
6941	+	0.401
6942	+	0.4225
6943	+	0.447
6944	+	0.4075
6945	+	0.37
6946	+	0.3515
6947	+	0.331
6948	+	0.337
6949	+	0.353
6950	+	0.376
6951	+	0.402
6952	+	0.398
6953	+	0.3935
6954	+	0.3915
6955	+	0.4335
6956	+	0.479
6957	+	0.523
6958	+	0.565
6959	+	0.5595
6960	+	0.5645
6961	+	0.5525
6962	+	0.5585
6963	+	0.5365
6964	+	0.5525
6965	+	0.5925
6966	+	0.6385
6967	+	0.669
6968	+	0.6825
6969	+	0.685
6970	+	0.673
6971	+	0.652
6972	+	0.6555
6973	+	0.659
6974	+	0.6625
6975	+	0.6495
6976	+	0.6365
6977	+	0.616
6978	+	0.597
6979	+	0.6225
6980	+	0.621
6981	+	0.5885
6982	+	0.546
6983	+	0.5585
6984	+	0.571
6985	+	0.5625
6986	+	0.52
6987	+	0.513
6988	+	0.501
6989	+	0.489
6990	+	0.4955
6991	+	0.4925
6992	+	0.492
6993	+	0.485
6994	+	0.478
6995	+	0.4675
6996	+	0.464
6997	+	0.483
6998	+	0.486
6999	+	0.486
7000	+	0.4745
7001	+	0.4775
7002	+	0.4705
7003	+	0.436
7004	+	0.4045
7005	+	0.3685
7006	+	0.4025
7007	+	0.3995
7008	+	0.4015
7009	+	0.404
7010	+	0.402
7011	+	0.4345
7012	+	0.4715
7013	+	0.4755
7014	+	0.48
7015	+	0.4605
7016	+	0.4735
7017	+	0.4715
7018	+	0.4885
7019	+	0.508
7020	+	0.5385
7021	+	0.5805
7022	+	0.6215
7023	+	0.6655
7024	+	0.7075
7025	+	0.7505
7026	+	0.755
7027	+	0.753
7028	+	0.7545
7029	+	0.756
7030	+	0.7205
7031	+	0.6835
7032	+	0.6805
7033	+	0.717
7034	+	0.7575
7035	+	0.7975
7036	+	0.796
7037	+	0.751
7038	+	0.7035
7039	+	0.6645
7040	+	0.6265
7041	+	0.59
7042	+	0.5955
7043	+	0.5925
7044	+	0.5945
7045	+	0.5955
7046	+	0.599
7047	+	0.605
7048	+	0.6045
7049	+	0.6055
7050	+	0.645
7051	+	0.6865
7052	+	0.688
7053	+	0.683
7054	+	0.6385
7055	+	0.5975
7056	+	0.568
7057	+	0.5895
7058	+	0.6105
7059	+	0.631
7060	+	0.6515
