start	strand	target_basepairing_propensity
16386	-	0.7135
16428	-	0.4755
16480	-	0.439
16481	-	0.4355
16506	-	0.5395
16507	-	0.529
16508	-	0.521
16513	-	0.615
16556	-	0.583
16602	-	0.522
16603	-	0.5165
16635	-	0.622
16636	-	0.628
16637	-	0.6295
16673	-	0.65
16734	-	0.5485
16784	-	0.612
16838	-	0.669
16869	-	0.483
16912	-	0.628
16913	-	0.6295
17024	-	0.4965
17025	-	0.497
17110	-	0.534
17111	-	0.497
17212	-	0.4215
17266	-	0.611
17267	-	0.5665
17309	-	0.5755
17310	-	0.566
17357	-	0.3515
17367	-	0.436
17389	-	0.717
17503	-	0.7725
17602	-	0.703
17607	-	0.719
17654	-	0.5075
17663	-	0.546
17664	-	0.588
17691	-	0.5375
17771	-	0.3155
17775	-	0.3355
17814	-	0.482
17815	-	0.483
17921	-	0.592
17958	-	0.603
17982	-	0.6085
17999	-	0.63
18037	-	0.637
18065	-	0.513
18154	-	0.4825
18220	-	0.3375
18221	-	0.3335
18260	-	0.551
18355	-	0.573
18361	-	0.577
18373	-	0.531
18374	-	0.526
18375	-	0.525
18439	-	0.4845
18440	-	0.496
18441	-	0.5
18479	-	0.3955
18590	-	0.703
18611	-	0.4235
18634	-	0.598
18635	-	0.584
18692	-	0.402
18693	-	0.407
18740	-	0.5315
18761	-	0.619
18787	-	0.5455
18788	-	0.578
18899	-	0.649
19193	-	0.6915
19194	-	0.689
19236	-	0.5635
19244	-	0.6155
19297	-	0.512
19333	-	0.6205
19334	-	0.6015
19348	-	0.3645
19349	-	0.3525
19357	-	0.504
19373	-	0.6235
19374	-	0.628
19375	-	0.648
19477	-	0.821
19559	-	0.614
19572	-	0.576
19583	-	0.562
19609	-	0.606
19610	-	0.623
19627	-	0.429
19642	-	0.544
19643	-	0.5685
19667	-	0.604
19695	-	0.663
19716	-	0.64
19751	-	0.506
19787	-	0.664
19794	-	0.6265
19846	-	0.611
19926	-	0.5475
19968	-	0.596
19988	-	0.5945
19989	-	0.6285
19990	-	0.6495
19991	-	0.626
20024	-	0.4975
20074	-	0.5115
20204	-	0.526
20221	-	0.6325
20231	-	0.5015
20260	-	0.546
20331	-	0.623
20341	-	0.779
20342	-	0.74
20365	-	0.857
20395	-	0.579
20396	-	0.615
20410	-	0.605
20411	-	0.5945
20425	-	0.6375
20426	-	0.632
20458	-	0.6155
20512	-	0.6935
20527	-	0.688
20528	-	0.6645
20554	-	0.663
20565	-	0.5265
20604	-	0.575
20609	-	0.659
20616	-	0.5905
20645	-	0.423
20646	-	0.3955
20703	-	0.49
20821	-	0.535
20869	-	0.652
20870	-	0.6525
20913	-	0.6165
20914	-	0.658
20969	-	0.6355
20992	-	0.5625
21106	-	0.668
21107	-	0.63
21108	-	0.5945
21109	-	0.5715
21120	-	0.3905
21128	-	0.376
21201	-	0.7295
21239	-	0.7545
21275	-	0.5265
21276	-	0.5615
21277	-	0.6025
21350	-	0.39
21351	-	0.3445
21391	-	0.4975
21395	-	0.571
21410	-	0.6575
21445	-	0.6225
21474	-	0.574
21475	-	0.586
21531	-	0.6065
21570	-	0.52
21574	-	0.522
21575	-	0.5345
21576	-	0.539
21583	-	0.5375
21584	-	0.554
21659	-	0.4505
21673	-	0.4395
21691	-	0.502
21692	-	0.4555
21706	-	0.3925
21707	-	0.3985
21737	-	0.392
21741	-	0.525
21742	-	0.5455
21801	-	0.7055
21822	-	0.4465
21835	-	0.468
21839	-	0.471
21840	-	0.441
21880	-	0.61
21881	-	0.6165
21882	-	0.617
21893	-	0.6975
21963	-	0.5385
21969	-	0.7045
21970	-	0.7155
21984	-	0.6305
21985	-	0.5915
21986	-	0.552
21994	-	0.5445
22042	-	0.663
22067	-	0.726
22068	-	0.7165
22088	-	0.3225
22089	-	0.3025
22121	-	0.532
22140	-	0.595
22146	-	0.405
22166	-	0.679
22167	-	0.7205
22199	-	0.611
22223	-	0.665
22224	-	0.7075
22225	-	0.714
22232	-	0.75
22250	-	0.5365
22278	-	0.3935
22286	-	0.5365
22295	-	0.5885
22310	-	0.549
22388	-	0.419
22389	-	0.4155
22518	-	0.4485
22551	-	0.3915
22577	-	0.601
22578	-	0.601
22588	-	0.6295
22589	-	0.6525
22590	-	0.636
22605	-	0.6045
22615	-	0.658
22686	-	0.498
22687	-	0.539
22694	-	0.588
22695	-	0.593
22740	-	0.5325
22764	-	0.6345
22850	-	0.617
22851	-	0.647
22932	-	0.6675
22955	-	0.627
22956	-	0.622
22969	-	0.622
23021	-	0.358
23022	-	0.358
23034	-	0.336
23039	-	0.4995
23054	-	0.7255
23104	-	0.564
23108	-	0.5765
23109	-	0.5485
23137	-	0.581
23162	-	0.499
23186	-	0.545
23201	-	0.5985
23241	-	0.33
23249	-	0.4245
23259	-	0.5945
23339	-	0.6845
23340	-	0.6825
23398	-	0.6
23470	-	0.421
23491	-	0.577
23492	-	0.579
23493	-	0.5805
23513	-	0.663
23717	-	0.6315
23718	-	0.6485
23791	-	0.6165
23821	-	0.627
23822	-	0.6165
23840	-	0.3405
23841	-	0.3435
23842	-	0.315
23864	-	0.5645
23908	-	0.271
23909	-	0.2405
23910	-	0.195
23929	-	0.3635
23954	-	0.3855
23955	-	0.3445
23963	-	0.144
23964	-	0.164
23969	-	0.222
23970	-	0.232
23971	-	0.2575
24015	-	0.6305
24031	-	0.71
24032	-	0.684
24115	-	0.556
24129	-	0.517
24145	-	0.639
24146	-	0.657
24155	-	0.5655
24228	-	0.6645
24258	-	0.6035
24282	-	0.475
24345	-	0.5125
24379	-	0.57
24440	-	0.369
24473	-	0.5545
24474	-	0.516
24484	-	0.444
24493	-	0.445
24494	-	0.4855
24508	-	0.741
24575	-	0.5195
24689	-	0.4635
24690	-	0.426
24691	-	0.378
24808	-	0.58
24831	-	0.656
24849	-	0.548
24853	-	0.634
24873	-	0.374
24890	-	0.534
24891	-	0.4965
24892	-	0.452
24927	-	0.7645
24976	-	0.5425
24986	-	0.5755
25031	-	0.5445
25032	-	0.587
25061	-	0.5485
25142	-	0.5155
25213	-	0.765
25223	-	0.809
25224	-	0.7755
25267	-	0.661
25332	-	0.614
25402	-	0.4735
25406	-	0.431
25438	-	0.663
25477	-	0.524
25478	-	0.513
25522	-	0.763
25560	-	0.4375
25561	-	0.444
25562	-	0.424
25631	-	0.505
25635	-	0.4825
25655	-	0.4985
25665	-	0.4925
25677	-	0.558
25678	-	0.5465
25708	-	0.327
25709	-	0.336
25719	-	0.6065
25726	-	0.5895
25754	-	0.548
25776	-	0.515
25782	-	0.5185
25815	-	0.345
25831	-	0.3265
25832	-	0.359
25836	-	0.4365
25932	-	0.6745
26184	-	0.4895
26218	-	0.708
26262	-	0.7735
26304	-	0.4705
26305	-	0.4435
26306	-	0.454
26314	-	0.555
26413	-	0.497
26414	-	0.451
26415	-	0.405
26421	-	0.3845
26498	-	0.526
26499	-	0.504
26500	-	0.511
26506	-	0.455
26514	-	0.4645
26519	-	0.6755
26520	-	0.691
26601	-	0.4285
26621	-	0.4895
26635	-	0.662
26659	-	0.497
26660	-	0.4695
26661	-	0.429
26681	-	0.5935
26682	-	0.5935
26709	-	0.603
26718	-	0.558
26719	-	0.538
26735	-	0.5785
26823	-	0.571
26833	-	0.589
27053	-	0.3805
27102	-	0.6785
27103	-	0.6755
27180	-	0.6775
27209	-	0.6535
27224	-	0.5685
27268	-	0.6485
27269	-	0.696
27276	-	0.544
27282	-	0.516
27322	-	0.6845
27411	-	0.645
27412	-	0.662
27447	-	0.6305
27486	-	0.62
27487	-	0.5905
27533	-	0.3495
27557	-	0.503
27572	-	0.491
27584	-	0.667
27589	-	0.6355
27590	-	0.5965
27642	-	0.422
27684	-	0.466
27696	-	0.5985
27697	-	0.6195
27698	-	0.6405
27722	-	0.6355
27732	-	0.598
27770	-	0.4065
27789	-	0.43
27796	-	0.416
27797	-	0.402
27798	-	0.3785
27805	-	0.4145
27821	-	0.4325
27822	-	0.452
27841	-	0.6335
27842	-	0.632
27904	-	0.506
27911	-	0.4985
27912	-	0.5315
27943	-	0.666
27960	-	0.526
28065	-	0.681
28139	-	0.3825
28146	-	0.3185
28152	-	0.501
28153	-	0.5355
28219	-	0.5935
28220	-	0.6085
28221	-	0.6095
28247	-	0.641
28248	-	0.597
28254	-	0.4855
28326	-	0.603
28409	-	0.485
28604	-	0.7505
28937	-	0.5915
29096	-	0.566
29132	-	0.688
29133	-	0.6385
29196	-	0.6695
29312	-	0.491
29329	-	0.492
29330	-	0.4525
29474	-	0.435
29483	-	0.48
29578	-	0.4595
29579	-	0.462
29585	-	0.5835
29586	-	0.618
29592	-	0.68
29664	-	0.4355
29684	-	0.5435
29730	-	0.4945
29731	-	0.485
29824	-	0.432742152557139
29825	-	0.433505424373042
29849	-	0.403440794571407
29850	-	0.392503294571407
